,customer_unique_id,segment,review_score,review_comment_title,review_comment_message
54427,339226381a666aaee8cda05d4ba45312,Potential Loyalist,1,Quantidade errada,"Dia 06/06/2018 efetuei a compra de 2 capas cases e 1 HD externo.
Dia 12/06/2018 recebi apenas 1 capa case e na NF que acompanhou a capa case consta a informação que foi enviado somente 1 produto."
54403,dfaedec84cf126e85337adcc7eb36b36,Potential Loyalist,1,Arrependimento ,Não deveria ter comprado 
54428,1a1620a23a766782c7c5c5d29a362f5f,Potential Loyalist,2,Diferente,Carregador diferente do que está na foto e é paralelo!
54363,129a2123eaeed37487cf969f38fa4de2,Potential Loyalist,2,desapontada,"Estava muito ansiosa pelo produto. Expectativa alta, mas quando chegou, o produto não era como esperava. Ai tudo bem, mas o pior eh q as travas das alças não fixavam, e sempre escorregava. "
54299,81133c6f891edaf2cd1193b262ab2ba7,Potential Loyalist,1,nao recomendo,"o produto não correspondeu as minhas expectativas, comprei um esteto e recebi só o estojo."
54311,a796da63e955831a2ebde79b3e63e246,Potential Loyalist,1,0,Comprei 02 e entregaram 01 e com defeito. Não funciona
54333,60356e77165e290219f6f4a6382b10a0,Potential Loyalist,2,6,O produto descreve que a caixa do relogio é metal e o vidro cristal mineral e não é a caixa é resina cromada e o vidro é acrílico.
54707,fb3666e37fd339da742021b12ee2a0e5,Potential Loyalist,1,Comprei 2 produtos,Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa !
54777,b8561e0b275417eda5ca48696e21a781,Potential Loyalist,1,Ainda não recebi o produt,Ainda esta no prazo para entrega
54653,8183af415159fdfb156e806b3d97b25f,Potential Loyalist,1,Produto não original ,Produto não informado como paralelo/réplica 
54540,2db396fe726c663b1c77300ff38aeb69,Potential Loyalist,1,bom,comprei dois potes e só entregaram um. Até agora não resolveram meu problema.
54543,abf227dc917e1dd81b8149735d755b65,Potential Loyalist,1,Entrega ,"Estou aguardando uma resposta, pois minha entrega foi entregue parcialmente, esta faltando uma luminária."
54587,33a419b0647279e06d968238c820a7b0,Potential Loyalist,1,Recebi o produto errado,Mandaram outro produto.
54624,fafc4a24221fb5a48653e1bae9138e22,Potential Loyalist,1,não recomendo,"Sempre comprei nas Lojas lannister pela entrega ser rápida e desta vez nem recebi a mercadoria. Gostaria que tomassem uma atitude a respeito deste parceiro, para não denegrir a imagem das Lojas Ameri"
54234,92181c7ab9eae9f4879cb1f6a1bcfcba,Potential Loyalist,1,Recebi metade do pedido,Agora ja recebi o que faltava hoje dia 1 de junho.
53762,9a6ac62957a9c8380f53505bc6763972,Potential Loyalist,1,Produto divergente,Comprei o relógio e não veio o que eu pedi e tudo indica que ê falsificado. Não gostei. 
53772,45a638e49125f9e17944eca6097399ec,Potential Loyalist,1,produto errado,"Não foi entregue a máscara reconstrutora, o selante veio mal embalado e vazou muito. O produto não tinha lacre na tampa. Não recomendo. Muito ruim. "
53798,74c1b37b9f9b2405c4cbba42ab2ea996,Potential Loyalist,1,Ruim ,Não recebi
53586,c1d6b3acce320f7fe811d54554febfd4,Potential Loyalist,1,Uma cadeira veio quebrada,Já pedi a troca e não fizeram
53694,7b2bcec826f9d8f92176ff06dbe62c5c,Potential Loyalist,1,Produto errado,"comprei um produto e recebi outro completamente diferente, como devo proceder?"
53846,5f84bc5493b64eacb5885015400870dd,Potential Loyalist,1,Produto com defeito,Eu solicitei devolucao do valor pois o produto veio com defeito e nao foi aceito pela impressora apontando defeito.
53866,c9c853a4ed4e4ea20c3d5313cc0a00fe,Potential Loyalist,1,Cheiro horrível ,"O produto é bom, mas tem um cheiro insuportável de cola de sapateiro "
54158,d53f0b47a239a061ea4d3b304c918559,Potential Loyalist,2,Produto ainda não chegou.,
54030,963d0a82132a191b74838b150186315e,Potential Loyalist,2,Insatisfeita com a compra,"Gostei muito da pontualidade, da mercadoria,mas infelizmente o produto nao foi entregue todo. Pedi 2 kits e me enviaram só um. Como faço pra receber o restante?"
53892,ed7261cebaa1bece63123ff16da4e11e,Potential Loyalist,1,Comprei 4 chegou só 3,"Comprei 4 produtos, sendo que só recebi 3. Faltou um lençol branco sem elástico. Foi quase R$ 100,00. E como eu fico? No prejuizo?"
53930,ea3c07aab1b899dd4b1b0db6fb1729a2,Potential Loyalist,1,falta produto,"ENTREGARAM A TÁBUA E Ñ FOI ENTREGUE O QUADRO, LOGO QUERO UMA RESPOSTA TENDO EM VISTA QUE VIA EMAIL DISSERAM QUE FOI ENTREGUE JUNTO."
53951,c87b6aeba07bae272573cea653066e30,Potential Loyalist,1,ruim,"muita demora para entregar, um produto tão pequeno."
54849,d207167b0278a7b67f1dd13537969796,Potential Loyalist,1,Má relação com cliente,"Nao fui informada da tentativa de entrega, meu produto retornou ao remetente e a lannister.com não tinha noção do acontecido. Busquei informações nos correios!!!"
55680,f34fb9f55e31c8fed0bd43d682f76cb1,Potential Loyalist,1,Insatisfeito,"Sempre comprei na lannister, porém, não recebi meus produtos em tempo hábil."
55778,8c3a00532dea4fa49f62c80296139d96,Potential Loyalist,2,Produto diferente do real,Recebi somente uma. Porém comprei duas. Não gostei da qualidade do produto e não veio embalada com etiqueta. Fica a impressão que é usada. E comprei para presentear. Quero devolve-lá. 
55787,755b01b2c86cb92e6b25d45f9fa8c238,Potential Loyalist,1,NÃO RECOMENDO,FIZ A COMPRA DE 3 CAIXAS E RECEBI APENAS 2 CAIXAS
55794,65290fc39fc326193c8a5b9c71aee62f,Potential Loyalist,1,Péssima!,"Comprei dois relógios, um Relógio Feminino Bracelete Dourado Strass que chegou com defeito e outro Relógio Feminino Bracelete Flor Com Pérolas que ñ chegou, mas consta como entregue."
55677,e0239a35ff7f833fbb19ab7b4bd7ab54,Potential Loyalist,1,O,"A loja me entregou um produto trocado ,inferior ao valor q paguei na compra, quero a devoluçao do produto e meu dinheiro de volta. Descaso com o cliente !
 Procurar o procon."
55624,21d0c6bc12b987a3cdbeea27e4571dd5,Potential Loyalist,1,Produto entregue errado,Foi entregue um cartucho colorido 901 no lugar do Preto 901 XL. Solicito orientação para a troca do produto.
55580,b6fe9a0f2c629778455e7bc902821598,Potential Loyalist,1,pessimo ,"péssimo produto, não funciona, não tem manual legível."
55585,d41354e6a6ae039648012f25e66af000,Potential Loyalist,1,Zero,Nunca mais comprarei a essa empresa . E as lannister também perderam um cliente.
55605,c0d0f7e3892d65148b9daa195c577b03,Potential Loyalist,1,Produto errado e falso,Me foi entregue o modelo errado e não e original. Solicitei a devolução.
55668,076b35e139e2e3de142e4d424d1cfb27,Potential Loyalist,1,Não chegou,Essa mensagem chegou e o produto não
55642,1985828926fd59c8666d67ba9de8ed5d,Potential Loyalist,2,Farinheiro ,
55663,7836f08f708ea6b6c44204ea95a1e4b0,Potential Loyalist,2,as cores não corresponde,"comprei o produto pela cor ilustrada pelo site da loja americana, no site mostra ser preto http://prntscr.com/jkx7hr quando o produto chegou aqui veio todos com a mesma cor, tabaco http://prntscr.com/"
