광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
9 (인스타피드),18-24,unknown,2021-04-30,9 (전체),1,1,1,7,7,1,1,1,,,1,,1,,,,2021-04-30,2021-04-30
9 (페이스북),18-24,male,2021-04-30,9 (전체),1,114,115,603.485141,603.485141,1.00877193,1,1,,,1,,1,,,,2021-04-30,2021-04-30
9 (페이스북),18-24,female,2021-04-30,9 (전체),62,2085,2102,188.5870888,11692.39951,1.008153477,55,62,,,67,1,67,1,,3,2021-04-30,2021-04-30
9 (페이스북),25-34,male,2021-04-30,9 (전체),3,82,82,178.4768106,535.4304319,1,3,3,,,3,,3,,,,2021-04-30,2021-04-30
9 (페이스북),Unknown,unknown,2021-04-30,9 (전체),,0,0,,0,0,,,2,,,,,,,,2021-04-30,2021-04-30
9 (인스타피드),25-34,unknown,2021-04-30,9 (전체),,2,2,,25,1,,,,,,,,,,,2021-04-30,2021-04-30
9 (페이스북),25-34,female,2021-04-30,9 (전체),39,1042,1050,181.3252544,7071.68492,1.007677543,35,39,,,42,1,42,,,2,2021-04-30,2021-04-30
9 (인스타피드),25-34,female,2021-04-30,9 (전체),4,106,107,256.75,1027,1.009433962,4,4,,,5,,5,,1,,2021-04-30,2021-04-30
9 (인스타피드),18-24,female,2021-04-30,9 (전체),10,220,220,146.3,1463,1,10,10,,,13,,13,,3,,2021-04-30,2021-04-30
9 (인스타피드),18-24,male,2021-04-30,9 (전체),2,68,68,245.5,491,1,2,2,,,3,,3,,1,,2021-04-30,2021-04-30
9 (인스타피드),25-34,male,2021-04-30,9 (전체),1,42,42,319,319,1,1,1,,,1,,1,,,,2021-04-30,2021-04-30
9 (인스타피드),18-24,male,2021-04-29,9 (전체),1,12,12,52,52,1,1,1,,,1,,1,,,,2021-04-29,2021-04-29
9 (인스타피드),18-24,unknown,2021-04-29,9 (전체),1,1,1,14,14,1,1,1,,,1,,1,,,,2021-04-29,2021-04-29
9 (인스타피드),25-34,unknown,2021-04-29,9 (전체),,1,1,,8,1,,,,,,,,,,,2021-04-29,2021-04-29
9 (인스타피드),25-34,female,2021-04-29,9 (전체),3,60,60,92,276,1,3,3,,,3,,3,,,,2021-04-29,2021-04-29
9 (인스타스토리),18-24,female,2021-04-29,9 (전체),1,1,1,7,7,1,1,1,,,1,,1,,,,2021-04-29,2021-04-29
9 (인스타스토리),Unknown,unknown,2021-04-29,9 (전체),,0,0,,0,0,,,1,,,,,,,,2021-04-29,2021-04-29
9 (인스타피드),18-24,female,2021-04-29,9 (전체),5,136,137,134.4,672,1.007352941,5,5,,,5,,5,,,,2021-04-29,2021-04-29
9 (인스타피드),25-34,male,2021-04-29,9 (전체),,16,16,,71,1,,,,,,,,,,,2021-04-29,2021-04-29
9 (페이스북),18-24,unknown,2021-04-29,9 (전체),,2,2,,10.02608457,1,,,,,,,,,,,2021-04-29,2021-04-29
9 (페이스북),25-34,unknown,2021-04-29,9 (전체),,2,2,,9.023476112,1,,,,,,,,,,,2021-04-29,2021-04-29
9 (페이스북),18-24,male,2021-04-29,9 (전체),,119,120,,487.26771,1.008403361,,,,,,,,,,,2021-04-29,2021-04-29
9 (페이스북),25-34,male,2021-04-29,9 (전체),3,110,111,174.4538715,523.3616145,1.009090909,3,3,,,3,,3,,,,2021-04-29,2021-04-29
9 (페이스북),25-34,female,2021-04-29,9 (전체),39,950,955,135.1721863,5271.715266,1.005263158,37,39,,,43,,43,3,,1,2021-04-29,2021-04-29
9 (페이스북),18-24,female,2021-04-29,9 (전체),57,1718,1735,145.6948394,8304.605848,1.009895227,53,57,,,71,3,71,3,2,6,2021-04-29,2021-04-29
9 (인스타피드),18-24,female,2021-04-28,9 (전체),55,1327,1347,136.8909091,7529,1.01507159,54,55,,,66,,66,4,6,1,2021-04-28,2021-04-28
9 (인스타피드),18-24,male,2021-04-28,9 (전체),6,117,118,114.6666667,688,1.008547009,6,6,,,8,,8,1,1,,2021-04-28,2021-04-28
9 (페이스북),25-34,unknown,2021-04-28,9 (전체),,6,6,,24.00110088,1,,,,,,,,,,,2021-04-28,2021-04-28
9 (페이스북),18-24,unknown,2021-04-28,9 (전체),,8,10,,44.00201829,1.25,,,,,,,,,,,2021-04-28,2021-04-28
9 (인스타스토리),18-24,female,2021-04-28,9 (전체),,2,2,,5,1,,,,,,,,,,,2021-04-28,2021-04-28
9 (인스타피드),25-34,male,2021-04-28,9 (전체),5,96,98,104.4,522,1.020833333,5,5,,,5,,5,,,,2021-04-28,2021-04-28
9 (인스타피드),Unknown,unknown,2021-04-28,9 (전체),,0,0,,0,0,,,4,,,,,,,,2021-04-28,2021-04-28
9 (인스타피드),25-34,unknown,2021-04-28,9 (전체),,2,2,,8,1,,,,,,,,,,,2021-04-28,2021-04-28
9 (인스타피드),13-17,unknown,2021-04-28,9 (전체),,1,1,,6,1,,,,,,,,,,,2021-04-28,2021-04-28
9 (인스타피드),18-24,unknown,2021-04-28,9 (전체),,2,2,,9,1,,,,,,,,,,,2021-04-28,2021-04-28
9 (페이스북),Unknown,unknown,2021-04-28,9 (전체),,0,0,,0,0,,,3,,,,,,,,2021-04-28,2021-04-28
