타임스탬프,나이가 어떻게 되시나요?,성별이 어떻게 되시나요?,현재 어떤 신분이신가요?,수면과 관련하여 어려움을 겪으시나요?,스마트 워치를 사용하시나요?,스마트 워치를 차고 주무시나요?,수면 어플을 써보신 적이 있으신가요?,어떤 어플을 쓰셨나요?,어플을 사용하신 이유가 무엇인가요?,가장 잠이 필요한 시기나 순간은 언제인가요? (ex. 시험 기간),잠을 잘 못 잘 때 어떤 방법으로 해결하시나요?,가장 잠이 필요한 시기나 순간은 언제인가요? (ex. 시험 기간),잠을 잘 못 잘 때 어떤 방법으로 해결하시나요?
11-21-2021 22:45:59,33,남성,직장인,3,아니오,아니오,아니오,,,,,근무 시간이 길 때,누워서 뒤척인다
11-22-2021 0:44:14,25,여성,직장인,4,아니오,아니오,아니오,,,,,숙취해소,"캐모마일 티 마시기, 온열안대 착용, 마사지 등 몸을 풀어주는 스트레칭"
11-22-2021 8:23:51,24,여성,학생,6,아니오,아니오,네,슬립사이클,수면 모니터링,"다음날 일정이 많고 몸을 많이 쓸 때, 시험 기간",잠이 안오면 어떤 방법을 써도 효과가 없어서 그냥 샙니다,,
11-22-2021 15:11:45,29,여성,직장인,8,예,아니오,아니오,,,,,매일,수면음악듣기
11-22-2021 16:05:51,29,남성,직장인,8,예,예,아니오,,,,,마감이 많이 몰리는 월말 월초,일단 누워서 버텨봅니다ㅜ
11-22-2021 18:39:07,28,남성,취준생,1,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링","질문이 이해가 잘 안되는데, 시험기간이나 프로젝트 기간에 잠을 짧지만 효율적으로 자는게 좋습니다.",호흡에 집중합니다,,
11-22-2021 20:17:36,15,남성,학생,7,아니오,아니오,아니오,,,,,지금,피곤하게 만든다
11-22-2021 21:17:03,27,여성,직장인,8,예,아니오,네,필로우,"수면 모니터링, 코골이, 이갈이 등 녹음",평소,잠이 올 때까지 핸드폰을 한다.,,
11-22-2021 21:47:25,26,여성,직장인,8,예,예,네,슬립사이클,수면 모니터링,평일,친구와 통화나 카톡하면 편한 친구의 익숙한 목소리가 잠오게 되더라고요,,
11-22-2021 22:27:34,28,남성,취준생,9,예,아니오,네,없음,알람,밤낮이 바뀔때,다음날 일찍잠듬,,
11-22-2021 22:30:56,32,남성,직장인,7,예,예,네,삼성워치,"수면 모니터링, 수면 분석 리포트",평소,수면제,,
11-22-2021 22:33:31,29,여성,직장인,8,예,예,네,슬립사이클,"알람, 수면 모니터링, 수면 유도",매일..?,"침대에서 아예 반대 방향으로 누워서 자거나, 졸릴 때까지 영상을 봅니다.",,
11-23-2021 0:13:25,26,여성,직장인,6,예,아니오,네,필로우,"알람, 수면 모니터링, 수면 분석 리포트",평일,핸드폰으로 가끔 노래 듣거나 파도 소라 듣기,,
11-23-2021 1:54:19,29,여성,직장인,10,아니오,아니오,네,Snoreclock,"수면 모니터링, 코골이, 이갈이 등 녹음",일하는 평일,그냥 눈감고있는다,,
11-23-2021 8:22:44,27,남성,취준생,9,예,예,아니오,,,,,수면 패턴이 깨졌을 때,잠을 자지 않는다
11-23-2021 9:27:45,29,여성,직장인,9,예,아니오,아니오,,,,,평일,눈 감고 오디오북/asmr 듣기
11-23-2021 11:07:55,30,여성,직장인,7,아니오,아니오,아니오,,,,,자기전,눈감고있기
11-23-2021 19:57:05,26세,남성,취준생,10,아니오,아니오,아니오,,,,,그냥 평소 전부 다,유튜브를 틀어놓고 보다가 스스륵 잠들길 기도
11-23-2021 20:34:01,26,여성,직장인,8,아니오,아니오,아니오,,,,,시험기간,ASMR틀어놓는다
11-23-2021 22:17:01,26,남성,학생,8,예,예,네,슬립사이클,"알람, 수면 모니터링",매일,이완명상을 한다,,
11-23-2021 22:51:34,29,여성,학생,9,아니오,아니오,네,슬립사이클,"알람, 수면 모니터링, 수면 분석 리포트, 수면 유도",항상,강아지들 데리고 자요,,
11-23-2021 22:58:46,27,남성,취준생,8,예,아니오,아니오,,,,,매일 밤,유튜브 장시간 틀어두고 잠
11-24-2021 5:08:44,33,남성,직장인,8,예,아니오,아니오,,,,,출근전날,무조건 눈감고있기
11-24-2021 6:40:04,27,남성,취준생,9,예,예,네,슬립사이클,"수면 모니터링, 수면 유도",면접전날,클래식 청취,,
11-24-2021 8:35:57,15,남성,학생,9,아니오,아니오,아니오,,,,,시험기간,잘때까지 스마트폰을 붙잡고 있는다 
11-24-2021 10:08:59,22살,남성,직장인,1,예,아니오,아니오,,,,,잘시간,숫자를세곤하죠
11-24-2021 10:43:09,25,남성,직장인,10,예,예,네,슬립사이클,"수면 모니터링, 수면 분석 리포트",퇴근,유도음악,,
11-24-2021 11:32:29,22,남성,학생,8,아니오,아니오,아니오,,,,,중요한 일이 있을때,낮잠
11-24-2021 11:46:27,24,여성,직장인,8,예,예,아니오,,,,,피곤할때,누워서 잔잔한 영상보기
11-24-2021 13:00:43,22,남성,직장인,2,아니오,아니오,네,예전에 스마트워치,수면 모니터링,피곤할 때 (잠을 잘 못 잔 이후),누워서 최대한 잠을 청하려 노력하는 편,,
11-24-2021 13:01:15,31,남성,직장인,7,예,아니오,네,오토슬립,수면 분석 리포트,중요한 미팅이나 약속이 있을때 (안자면 얼굴에 티가나서),"카페인 줄이기, 낮잠안자기",,
