USER,DATE,STAR,LIKE,TITLE,REVIEW
Living life 12,2022-01-21 04:44:42-07:00,5,0,My experience with calm,I started using the app this year to learn more about meditation and healthy balancing it has been an eye-opener for me as I begin to focus more on how to versus the why/when or outcome fabulous you got a try it
J9-71,2022-01-21 03:27:24-07:00,2,0,This app has glitches,"The App itself has glitches, makes it frustrating and not calming or relaxing. Scenes don’t play when you select them. Stories stop playing and when you select play, it does nothing. Wanted to like this but the app makes this more frustrating than it’s worth."
dee7603,2022-01-20 23:19:48-07:00,2,0,Frustrated!!,Why would I write a review at 2:am when I want to SLEEP!
Rustpyro,2022-01-20 20:45:58-07:00,5,0,Super calming,I love this cuz there is so many stories breathing strats
walgreens 1,2022-01-20 20:08:06-07:00,5,0,Relax,Enjoy the night stories read by Matthew McConaughey to lull you into a peaceful sleep
J12 10$&,2022-01-20 19:26:33-07:00,5,0,Calm,"It is good if you can’t go to sleep and relaxing 
And putting kids to sleep"
Gangstaman22,2022-01-20 18:22:56-07:00,1,0,Nothing to try for free,I wanted to give this app a try because I notice it advertised. I have trouble sleeping so I thought I would download the app and see what it had to offer. Very disappointed to find out you need to pay $70 for this app to get anything unlocked. I am not about to only try it for a few days for free knowing it is that expensive. I could not try anything to see this was even worth a few dollars. I’m sorry but you cannot expect someone to pay that much. I will just load my own relaxing music and nighttime stories for free.
hrhrbfv,2022-01-20 17:54:44-07:00,5,0,CALM,I GO TO BED SO QUICK(and yes where are moments where you can go to sleep sometimes)OVER ALL 5 billion stars
hgshfjhgjs,2022-01-20 17:45:58-07:00,5,0,Great,It is so much easier to believe in your life and your life will be easier than the other way you can get really ingenious and not have a lot going on in your life lol
Susanmary02,2022-01-20 16:27:07-07:00,5,0,Great app.,Great app. I use it for the sleep stories. Sound scapes and meditation pieces don’t help me sleep. I wish posted more sleep stories more often.
riboflavin,2022-01-20 14:10:59-07:00,5,0,Sent back to school,"Truthfully, I have been blowing it all over the place...not being able to snap out of my own thinking in this political and emotionally charged environment, but for the first time ever, my brother  and I have avoided each other’s judgement by simply sharing our experience with Jeff Warren’s instruction on how to meditate. Incredible by-product of great instruction. Thank you, Jeff. PS see you shortly on DNP."
Moni2Moni,2022-01-20 12:56:16-07:00,5,0,So Far,This is awesome I’m loving it so much Thank You
usernametaken8405,2022-01-20 08:32:55-07:00,4,0,Needs for feelings,How are you feeling? It shouldn’t take me 2 minutes to decide how I’m feeling because I only have 12 options to choose from. There is more than enough space to add more feelings. Add more feelings and/or give us the option to fill in our own feeling so when we go back we can see our actual feeling not what we’re force you select based on the options given.
Jltdlttmouvtp,2022-01-20 08:20:22-07:00,5,0,EVERYTHING!,There is not one bad thing I can say about this app. ♥️💯
belu mom,2022-01-20 05:31:42-07:00,5,0,Omg so good!!!,So I needed a app for meditation and like my friend was like try Calm. So I said ok I’d try it for a week and I loved it. It even works for sleep stories!
unwellness,2022-01-19 23:47:49-07:00,2,0,"Great app, terrible support",I purchased a lifetime subscription on Android months ago and since then I’ve switched to iOS. According to the faq’s the only way to restore my lifetime subscription that I PAID for is to use that phone only or purchases new subscription. There’s no way to move it to my iOS device and that seems like a sneaky business practice especially for an app that is centered on wellness. 😡
riya123fart,2022-01-19 21:26:42-07:00,5,0,The best,It is also a good app for kids to go to sleep and and relaxing wen you get the chance
Nickname-1111111,2022-01-19 21:05:59-07:00,2,0,"Expensive, no content","The premium version of this app has fewer than 20 meditations & very little for sleep. And new short meditations are all the same. Most of the content is voiced by one woman, so if you aren’t into her style, you’re outta luck."
mel2259,2022-01-19 20:29:39-07:00,5,0,Harry stiles,Seriously me to  write a review! I listen to him every night. I love him.
rip off12,2022-01-19 20:28:25-07:00,1,0,$,Do you have anxiety? Do you have trouble sleeping? Don’t want to take advantage of all the free alternatives out there?  Well pay $70 dollars to Calm and you’ll get the same experience as you do with those free sites.  Message brought to you be Lebron James
Anya 12 y old,2022-01-19 20:24:55-07:00,5,0,AMAZING! But only if…       P.S. PLEASE BUY PREMIUM CALM! 🤩ITS AMAZING 💆🏽‍♀️💆🏾💆🏻‍♂️,"Calm is an absolutely amazing app! I just got it and I can already tell that’s going to help me immensely with my anxiety! All of my feelings get welled up at night and a meditation is extremely helpful to help release all of that stress that I’m feeling for the upcoming day! However I would like to note, that without premium Calm, you’re not really going to get anything out of the app at all. Now there is nothing wrong with this ! But I just wanted to let everyone know! Please buy the premium Calm!!! There are so many stories, meditations, and stretching sessions available! I highly recommend this app! And I’ve just started! I can’t wait to see what else it has in store! I will write another review if anything changes!"
ebbabuddy,2022-01-19 18:59:02-07:00,3,0,Like it,I like this app but I purchased a lifetime subscription before even trying it out. I benefit much more from Jason Stephenson’s meditations on YouTube. I find that some of the voices on the meditations are annoying to me vs relaxing. I also get lost in my own thoughts as some meditations have too many pauses.
Quinn cat🐱🐶🐹🐨🐼,2022-01-19 18:31:01-07:00,5,0,I love bnth the starlet dome # I looooove it Quinn,"i give 1,000000000 stars"
Razzman2,2022-01-19 17:58:33-07:00,4,0,Where’s Nick?,"App is pretty great, I believe this type of thing is pretty particular and it seems to have a variety of options which (just starting) seem pretty good. Question is… am I missing the Nick Offerman option? Bought premium and don’t see a version done by nick other than the advertisement. Get Nick on board quick."
svugirl,2022-01-19 16:19:28-07:00,5,0,"Highly, highly recommend","I started using this as a recommendation from my dr and I love the check-ins, the meditations, and the ways to help with sleep. My coworker and I love the music during the work day.  It is amazing"
john1234567898,2022-01-19 13:00:39-07:00,1,0,Exuberant cost for a mediocre service,"There are many services that stream better quality music for cheaper or free. Just because the collect “calm” music does not mean it’s anything special. Most music I got was cheesy elevator music. Spotify has way better algorithms and much better selection, imho."
