캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
1 (전체),1 (페이스북),1 - 2(페이스북 상세),13-17,female,2021-03-29,,0,0,,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,2021-03-29,2021-03-29,1,페이스북
8 - 남자 (전체),8 (페이스북),8 - 2(페이스북 상세),25-34,male,2021-03-29,,0,0,,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,2021-03-29,2021-03-29,8,페이스북
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),25-34,female,2021-03-28,25.0,927,931,292.08,7302.0,1.0043149946063,25.0,25.0,22.0,331.90909091,292.08,7843.17937701,3.11493018,29.0,,,29.0,2.0,2.0,,,25.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),13-17,unknown,2021-03-28,,1,1,,7.0,1.0,,,,,,7000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (페이스북),6 - 2(페이스북 상세),35-44,female,2021-03-28,,1,1,,3.0,1.0,,,,,,3000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),45-54,female,2021-03-28,,3,3,,24.0,1.0,,,,,,8000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),35-44,male,2021-03-28,,4,4,,21.0,1.0,,,,,,5250.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),25-34,male,2021-03-28,,5,5,,29.0,1.0,,,,,,5800.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),25-34,female,2021-03-28,,18,19,,137.0,1.0555555555556,,,,,,7210.52631579,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),Unknown,unknown,2021-03-28,,3,3,,19.0,1.0,,,,,,6333.33333333,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),35-44,female,2021-03-28,3.0,41,41,107.66666666667,323.0,1.0,3.0,3.0,3.0,107.66666667,107.66666667,7878.04878049,7.31707317,3.0,,,3.0,,,,,3.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),45-54,male,2021-03-28,,13,13,,54.0,1.0,,,,,,4153.84615385,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),45-54,female,2021-03-28,,17,17,,119.0,1.0,,,,,,7000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),25-34,male,2021-03-28,5.0,196,196,278.2,1391.0,1.0,5.0,5.0,5.0,278.2,278.2,7096.93877551,2.55102041,5.0,,,5.0,,,,,5.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),25-34,unknown,2021-03-28,1.0,4,4,12.0,12.0,1.0,1.0,1.0,1.0,12.0,12.0,3000.0,25.0,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),35-44,female,2021-03-28,5.0,155,156,289.8,1449.0,1.0064516129032,5.0,5.0,5.0,289.8,289.8,9288.46153846,3.20512821,8.0,,,8.0,2.0,1.0,,,5.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),35-44,male,2021-03-28,1.0,25,25,165.0,165.0,1.0,1.0,1.0,1.0,165.0,165.0,6600.0,4.0,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),25-34,female,2021-03-28,4.0,184,184,298.25,1193.0,1.0,4.0,4.0,4.0,298.25,298.25,6483.69565217,2.17391304,4.0,,,4.0,,,,,4.0,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),35-44,male,2021-03-28,,13,13,,101.0,1.0,,,,,,7769.23076923,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),25-34,male,2021-03-28,,43,43,,252.0,1.0,,,,,,5860.46511628,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (페이스북),6 - 1(페이스북 상세),35-44,male,2021-03-28,,68,71,,97.0,1.0441176470588,,,,,,1366.1971831,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),45-54,male,2021-03-28,,1,1,,1.0,1.0,,,,,,1000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,7,인스타스토리
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),25-34,female,2021-03-28,,2,2,,5.0,1.0,,,,,,2500.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,7,인스타스토리
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),25-34,male,2021-03-28,,2,2,,6.0,1.0,,,,,,3000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,7,인스타스토리
7 (전체),7 (인스타스토리),7 - 2(인스타스토리 상세),35-44,female,2021-03-28,,3,3,,19.0,1.0,,,,,,6333.33333333,0.0,,,,,,,,,,2021-03-28,2021-03-28,7,인스타스토리
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,unknown,2021-03-28,,1,1,,1.0,1.0,,,,,,1000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),35-44,unknown,2021-03-28,,1,1,,6.0,1.0,,,,,,6000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),45-54,male,2021-03-28,1.0,29,31,45.0,45.0,1.0689655172414,1.0,1.0,1.0,45.0,45.0,1451.61290323,3.22580645,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,페이스북
5 (전체),5 (페이스북),5 - 1(페이스북 상세),25-34,female,2021-03-28,17.0,720,762,209.17647058824,3556.0,1.0583333333333,17.0,17.0,16.0,222.25,209.17647059,4666.66666667,2.49343832,17.0,,,17.0,,,,,17.0,2021-03-28,2021-03-28,5,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,female,2021-03-28,1.0,302,324,1078.0,1078.0,1.0728476821192,1.0,1.0,1.0,1078.0,1078.0,3327.16049383,0.61728395,2.0,,,2.0,1.0,,,,1.0,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),45-54,female,2021-03-28,1.0,38,38,88.0,88.0,1.0,1.0,1.0,1.0,88.0,88.0,2315.78947368,2.63157895,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),35-44,female,2021-03-28,1.0,83,89,242.0,242.0,1.0722891566265,1.0,1.0,1.0,242.0,242.0,2719.1011236,1.12359551,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (페이스북),6 - 1(페이스북 상세),25-34,male,2021-03-28,1.0,99,106,114.0,114.0,1.0707070707071,1.0,1.0,1.0,114.0,114.0,1075.47169811,0.94339623,1.0,,,1.0,,,,,1.0,2021-03-28,2021-03-28,6,페이스북
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),25-34,unknown,2021-03-28,,3,3,,25.0,1.0,,,,,,8333.33333333,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),45-54,male,2021-03-28,,4,4,,25.0,1.0,,,,,,6250.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),45-54,female,2021-03-28,,7,7,,32.0,1.0,,,,,,4571.42857143,0.0,,,,,,,,,,2021-03-28,2021-03-28,6,인스타피드
5 (전체),5 (페이스북),5 - 1(페이스북 상세),35-44,female,2021-03-28,,15,17,,62.0,1.1333333333333,,,,,,3647.05882353,5.88235294,,,,,,,,,,2021-03-28,2021-03-28,5,페이스북
5 (전체),5 (페이스북),5 - 2(페이스북 상세),18-24,female,2021-03-28,,2,2,,6.0,1.0,,,,,,3000.0,0.0,,,,,,,,,,2021-03-28,2021-03-28,5,페이스북
5 (전체),5 (페이스북),5 - 1(페이스북 상세),18-24,female,2021-03-28,11.0,340,356,157.27272727273,1730.0,1.0470588235294,11.0,11.0,10.0,173.0,157.27272727,4859.5505618,3.93258427,11.0,,,11.0,,,,,11.0,2021-03-28,2021-03-28,5,페이스북
2 (전체),2 (인스타피드),2 - 2(인스타피드 상세),18-24,female,2021-03-28,,21,21,,74.0,1.0,,,,,,3523.80952381,0.0,,,,,,,,,,2021-03-28,2021-03-28,2,인스타피드
3 (전체),3 (인스타스토리),3 - 1(인스타스토리 상세),25-34,female,2021-03-28,,18,18,,97.0,1.0,,,,,,5388.88888889,0.0,,,,,,,,,,2021-03-28,2021-03-28,3,인스타스토리
3 (전체),3 (인스타스토리),3 - 1(인스타스토리 상세),18-24,female,2021-03-28,2.0,197,198,389.5,779.0,1.005076142132,2.0,2.0,2.0,389.5,389.5,3934.34343434,1.01010101,2.0,,,2.0,,,,,2.0,2021-03-28,2021-03-28,3,인스타스토리
3 (전체),3 (페이스북),3 - 1(페이스북 상세),18-24,female,2021-03-28,29.0,1511,1604,212.03448275862,6149.0,1.0615486432826,29.0,29.0,23.0,267.34782609,212.03448276,3833.54114713,2.30673317,30.0,,,30.0,,,1.0,,29.0,2021-03-28,2021-03-28,3,페이스북
3 (전체),3 (페이스북),3 - 1(페이스북 상세),25-34,female,2021-03-28,9.0,410,430,180.44444444444,1624.0,1.0487804878049,9.0,9.0,5.0,324.8,180.44444444,3776.74418605,2.09302326,10.0,,,10.0,,1.0,,,9.0,2021-03-28,2021-03-28,3,페이스북
2 (전체),2 (인스타스토리),2 - 2(인스타스토리 상세),18-24,male,2021-03-28,,3,3,,4.0,1.0,,,,,,1333.33333333,0.0,,,,,,,,,,2021-03-28,2021-03-28,2,인스타스토리
