USER,DATE,STAR,LIKE,TITLE,REVIEW
Rambler T,2022-01-19 10:18:09-07:00,1,0,Now Broken - No Longer Working,"I've used this for years as my sleep tracker and alarm.  Within the past few weeks, Sleep Cycle won't even make it through the night.  Looking back at each log, it seems to run for about 4-5 hours, then just shuts itself down.  Yes, I've restarted my phone (do this about once a week anyway).  Just no longer works with the latest updates.  iPhone X running iOS 15.2.  Please fix or I'm going to need to explore other options."
Dibbus1987,2022-01-19 09:50:44-07:00,4,0,Works great mostly,"The only things that I wish it could improve on are 1. It’s so sensitive that it’s picking up all of my husband’s snoring and even him talking on the phone in another room, which throws my sleep accuracy off, and 2. Sometimes I forget to stop it on the morning and I’d like to be able to edit the time I got up. Otherwise it thinks I go back to sleep if I put down the phone and it throws all the data for the whole night."
The Gay™️,2022-01-18 23:39:55-07:00,1,0,Tried 7 day free trial and immediately charged for premium,I wanted to give the free trial a try to see if premium was worth it and immediately im charged for premium. I’m extremely not happy about this at all! Now I have to try and get my money back!
Kim Bullion,2022-01-18 21:52:29-07:00,2,0,Not working well,"The app hasn’t been picking much up, so I’m not getting any data. I turned my air purifier off to see if that would help. Since I didn’t have the whit noise of the purifier, I tried the forest pond and creek, etc. But they disturbed my sleep. I’m not sure why animals rustling in the underbrush in jarring sequences or someone’s footsteps walking by while you are trying to fall asleep were added. As a backpacker those sounds put you on high alert. Nobody wants a mouse chewing through their gear or hearing footsteps walking by your tent all night. 😂 Is Then you really can’t sleep and end up writing this review."
Savannah Pless,2022-01-18 19:58:45-07:00,4,0,Have used for YEARS,"I personally love this app and recommend it to anyone. Especially someone that hates being jolted awake with loud tones or wants to be woken up when they’re the most “awake”. Overall, a great app for tracking how good your sleep is BUT I am disappointed in a new feature I noticed. I went to go to sleep tonight and went to play my podcasts that help me sleep (I listen to two specific podcasts on the apple podcast app) however, when I played the podcast with a sleep timer set, the sleep cycle app kept turning the podcast off because “it couldn’t access the microphone.” I would prefer if this feature only gave the warning while still allowing the sound to play until it inevitably turns off. This would allow for me to fall asleep to what I’m used to while also tracking my sleep after my podcast cuts off. I hope you take this into consideration because otherwise I may have to go back to loud apple alarm tones just so I can fall asleep the night before 😞"
FrankP2491,2022-01-18 04:45:12-07:00,3,0,Great app weird move to subscription though,"I love this app I purchased it back in September of 2011! This app is great as someone who is for all intensive purposes a bad sleeper this app is amazing. I can’t fall asleep at night and have a hard time waking up. This app seems to always start ringing when i’m kinda in that in between sleep and awake phase in the morning even if it is 15 min earlier than I want sometimes lol! But it’s right on every time 

I used it since 2011 so the app itself is really good. But I give it 3 stars because now when I open the app it says I should upgrade to a subscription service when I paid for this app years ago. I even still have the order confirmation #! 

A lot of apps have been doing this lately and it’s a very bad business practice. If app developers can’t be trusted to do the right thing by their customers then apple needs to step in and guarantee purchases."
Of.coochiescouter,2022-01-18 04:26:00-07:00,2,0,Premium,why do I have to pay for premium to do anything I had this app about maybe a year or two ago worked great listening to the audio was very much needed. I downloaded again last night and i can't do anything without paying I refuse to pay that much and really all i'm looking is to track my sleep and audio at the very least that should be free!
cosmicchaotic,2022-01-17 21:28:03-07:00,3,0,Watch App Needs Work…,"I’ve used this app on my phone for years now and I’ve always been very satisfied with it. 

That being said, I recently got an Apple Watch, and the Sleep Cycle watch app leaves some things to be desired. It crashes on launch about 50% of the time. When it doesn’t crash, it often insists that I need to open the app on my phone when I try to start my alarm (it gives this message even when I /DO/ have the phone app open, whether the phone app’s alarm/analysis is active or not). I’ve tried restarting my device, uninstalling/reinstalling the app on my watch, and my memory is only 20.5% full, so I don’t think it’s an issue on my device’s end. 

In addition, I also think the watch app would benefit from having the “no alarm” analysis mode easily available."
Dianadiluxe,2022-01-17 06:32:40-07:00,1,0,No longer working,"I have used this app for years, but ever since the last update it mysteriously shuts down in the middle of the night, saying I got one or two horse of sleep.Because of this I’ve overslept twice. I no longer trust it."
Cwtech,2022-01-16 19:45:01-07:00,4,0,Sleep aid default changing,Please please please STOP changing my default sleep aid from the ONLY one worth using. Celestial creek! I don’t want environmental and defiantly not someone taking!
Rufusion,2022-01-16 17:33:19-07:00,4,0,Need more “night” sounds!,"This is a great app. I like all its features and it works as advertised. I’ve literally been using it for years, and it’s gotten me through some times where anxiety might have otherwise kept me awake much longer. My one gripe is that all the nature-type ambient sounds are daytime sounds! Let’s get some crickets, frogs, hoot owls, coyotes… things that make my brain say, it’s sleepytime!"
camdenM1561,2022-01-16 15:32:48-07:00,4,0,.,"this app is really helping me to recognize my bad sleeping habits! i wake up several times a sleep, and i’m usually sleeping during the day. 

because i’m asleep during the day, the app picks up noises of everyone else in the house. this isn’t too much of a problem, though. 

i’d love the option to not have an alarm. i don’t have any schedule or anywhere i need to be, so setting an alarm is a bit annoying. at this point i just set the alarm for the latest time so it doesn’t alert me because i’m already awake.

i’m not sure how this app tracks the deepness of your sleep but i assume it’s breathing patterns. (rem sleep and being awake have different patterns.) but those breathing patterns change on your age, so an option to input age to increase accuracy would be nice. (assuming that’s how the app tracks sleep deepness.)"
mrs iq,2022-01-16 07:09:40-07:00,1,0,Recent updates not working…,I have used this app for YEARS. I’m talking like almost 10 years probably. The last few months the updates have been really malfunctioning. I set the alarm as I have been and every morning I open my phone and the app has just stopped working. Luckily I have a three year old that wakes me up otherwise I would have been late to work several days out of the last two months.
tom21dotcom,2022-01-16 03:58:56-07:00,3,0,Changed horses in mid stream?,"I have been a very happy customer( 5 stars) for about 10 years until a couple weeks ago. It appears the developers have changed the algorithms such that the same sleep patterns recorded for years suddenly result in substantially decreased quality ratings, thus making the statistics questionable. 
Very unsatisfactory bordering on arbitrary and capricious.
Thanks for all the years before 2022 , but I’m not able to trust your results anymore."
thegolub,2022-01-15 18:54:39-07:00,1,0,Useless for insomnia  - worst Apple effort ever,"This app is so frustrating! Every time I use it, it says I fall asleep after ten or fifteen minutes, when I’ve been lying awake for hours trying to sleep. I hoped it might help me with my insomnia, but it clearly has no idea whether I’m sound asleep or lying awake wishing I could be sleeping! Possibly Apple’s worst app, and I have used Mac products faithfully since 1986! I had such high expectations for this but it’s ridiculously inaccurate. IF THIS IS A BUG, PLEASE FIX IT.
I would really feel bad if I paid money for it."
PiEquals3,2022-01-15 10:12:21-07:00,2,0,Only works in a quiet room,"This app uses your microphone to listen to you sleep all night. However if your room, like mine, is very loud then it will pick up all the other noise and say you didn’t sleep at all. Seems like a cool idea, but does not always work. I wish it would allow you to disable the microphone and just have inaccurate results, or in my case results that were slightly more accurate."
constant the man,2022-01-14 22:06:41-07:00,5,0,Genius App,"This tells me exactly when I fall asleep, when I am snoring or talking to myself, and rates the quality of my sleep. at the start of every morning I see an entire review of my night! Family member suggested this application it's totally free and it is the most amazing thing"
Milady717,2022-01-14 04:30:37-07:00,1,0,Stopped working,Loved this app but for some reason it just stopped recording/saving. It looks like it’s working but there is 0 data.
DoGoodDreamscape,2022-01-13 20:28:51-07:00,4,0,Watch integration please.,"I wish the watch part of this worked with the phone part of it so that I could snooze from my watch. 
Or even better, it could also use movement info from the watch to track sleep. 
I’ll be happy with just the ability to snooze. 
For now, the watch part of the app is completely separate it appears."
s050m3,2022-01-13 18:50:56-07:00,2,0,The fact that it can track me as both awake and snoring at the same time is all you need to know,"Been using it for about 6-8 weeks and had doubts about those long-ish awake times I didn’t remember . Not an in-depth or comparative review , just an obvious incoherence between the data and reality so far . Deleted it"
Margaret Bear,2022-01-13 13:01:43-07:00,4,0,Trouble with Sleep Aids,"I love this app!  I can easily see my habits and trends. However, the sleep guides turn off after about 15 minutes, even after the updated version."
1234589Elena,2022-01-13 09:03:08-07:00,1,0,Wrong,It doesn’t really track my sleep. I got some random data at the end of night.
