날짜,리뷰,별점
"February 15, 2020","I really like how nice and simple it is but I need help... Everytime i go to sleep (for the past 3 days) i charge my phone, and put it beside me and click 'start sleep'. The music plays and i fall asleep. in the morning, i check it and the alarm is on the screen so I stop it.. BUT i go to check my sleep but it tells me... That i need ""at least 30 minutes of sleep to have a record blah blah""??? i slept for 8+ hours???? Its been saying the same thing for the past 3 nights (-_- )halp",3
"January 19, 2022","The app is always improving, and the developers listen to my advice. In latest updated version, I see the snore tag for some of my sleep recordings. Good! It feels like I'm growing with it, my sleep is getting better and it's getting better and more powerful. It feels so amazing. Been using it since 2020, the sleep reports are great, I also learned how bedtime behavior can affect sleep, and now I don't drink alcohol before bed. Many thanks to the developers, you guys are awesome.",5
"January 19, 2022","I like Sleep Monitor very much. Of course, I have used other sleep monitoring software, and finally found Sleep Monitor to be more suitable for me. The music in the app is very nice, and it is very helpful for my sleep. I hope to update more sleep music. I suggest adding some children's sleep music. The sleep results are also very credible, I got up a few times at night and the reports showed it all. Does everything needed and has no hidden fees. This app is perfect and I love it!",5
"January 20, 2022","Nice app, I found value and good information. I've been paying more attention to my sleep this year and have seen a lot of benefits when I'm consistent with my sleep. I knew about rem sleep but I had no idea why I have it 2-3 times every night . I love informative app like this! Thanks...The tips to help get to sleep are spot on, everytime I open a book I fall asleep after the first 4 or 5 pages. It's as good as a sleeping pill..I was only able to read The Odyssey 4 or 5 pages at a time..lol",5
"January 19, 2022","A very nice way to know my sleep. App analyzes my my sounds, movement, and behaviors as I sleep to give me a clear snapshot of the duration and quality of my sleep. I like that it gives me a sleep score to measure how well I slept and provides me with an in-depth analysis based on length of my sleep. This app also helps me determine how much time I spend in a dream (REM) and how many times I am disturbed throughout the night. Although the data accuracy cannot reach100%, say it at least 90%.",5
"January 19, 2022","Really impressed with analytics. Have used other sleep apps but this is by far the best. Sleep reports can be viewed every day. The operation is very simple, I click to start monitoring before going to bed and turn off monitoring in the morning. Then I can see my sleep report. The design of the app looks very comfortable, very close to the feeling of sleep. You can use the recording for free, but you must know that the recording function is charged in other apps. I have been using it for a few weeks and it is still very good. I recommend downloading it.",5
"January 20, 2022","Nice informative app. I use to sleep so very deeply and loved it, but not anymore due to health reasons. Is it “normal” to wake up after deep sleep stage? Or easier to be woken up? I seem to wake every 2-3 hours at the same time most nights. Usually I take a quick bathroom break then fall back asleep usually without issue. Is this something I need to address or normal?",5
"January 19, 2022","I have no complaints here. App does the best job of helping me improve my sleep. It allows me to set sleep goals for reaching them. It also provides more detailed sleep-stage data than most other apps, its smart alarm did a pretty good job of waking me up slowly, so I felt less groggy. The free version provides general sleep records for seven days at a time. For $20 a year, Sleep Monitor tracks and records sleep reasonably accurately for the long term.",5
"January 19, 2022","Sleep Monitor shows how long i were in each stage of sleep(light/deep/REM/awake). This app’s clean graphs let me easily see general trends—which is almost all i need to understand my patterns. I also love that it has more than a dozen smart-alarm sounds and lulling sounds to choose from to aid sleep, so getting up and going to bed both feel a lot more pleasant. Why not give me some advice for improving sleep? If I have low sleep quality, there should be a way to fix it. That would be perfect.",5
"January 19, 2022","I’ve tried so many well-regarded and reviewed sleep apps, but this is the one which helped make a difference—and continues to do so. From understanding that my sleeping quality low high to seeing the impact of food, alcohol, and other activities, I am now in control of this essential health component. I recommend this app for anyone wishing to understand their sleep and make changes to improve health. Love seeing hours of deep sleep now and all the rings closed.",5
