날짜,리뷰,별점
"November 3, 2018","Love the adjustable sound settings. Making my own mix of soothing nature music isn't something I thought I would enjoy doing 😂 The timer also gave me assurance that it'll stop at the allocated duration when I fell asleep, and that means I don't wake up in the middle of the night having to turn it off myself. It's simply a very good app!",5
"August 4, 2021","Always manage to fall asleep within 30 minutes, usually takes me hours. Love the app!",5
"January 23, 2022","Really helpfull! There are so meany sounds for free! I love the ASMR sounds✨ Immaculate🙏 If your looking for a free sound app this is the best one i've tried by far, you can also cosimize your own sound if you dont like the ones already avalible!",5
"January 12, 2022",Best app. Really helped me cause I was having sleeping disorder.,5
"December 28, 2021",Helps me clear my mind of all the stressful thoughts. Along with a relaxing slip into sleep. Thx so much!,5
"January 18, 2022","EDIT: problem was with my old Huawei phone, not the app. New phone, it mutes on phone calls, so I now give it 5 stars. I would give this app 5 stars, except for one glaringly obvious oversight - it does not mute when answering a phone call! 🤐 It pauses while the phone is ringing but comes back on loud and clear once you answer. Very embarrassing if you take a call, and hard to pause or stop it while your caller hangs on. PLEASE FIX! Otherwise is helping my insomnia quite well.",5
"December 31, 2021","I have hardly any complaints! This app is marvelous. As a person with misophonia, I have trouble sleeping in the morning due to specific sounds. This app helps a lot. The main rain sound has good audio and it doesn't sound like horrible static or just a dripping pipe. Love the thunder, that really helps me rest. Although, I would appreciate more music, maybe. Just a few more sounds and it'll be perfect! Otherwise, it is quite the brilliant app. The limit is reached, or I would say more. 🤍⛈️🤍",5
"January 20, 2022","Woken up by ads! Ad banner in the app lets the ads have audio control and will have the ad talk about their product. Beyond annoying! Can't buy the app because because it's all subscription based where they charge $25/year or $5/month to listen ad free. The app itself is amazing though! With all that, it's time to move on to another app.",1
"January 6, 2022","My favourite sleep app, I particularly enjoy the loud adverts as you switch it on and settle down for bed, the biggest buzz is when you wake your partner up with it. Fantastic. Next app for me is some kind of military stealth one that sets off an alarm randomly during silent covert missions. Let's hope one exists! Five stars xxxxx",5
"January 17, 2022","best sleep app I've found. highly customizable, sounds are very authentic, & can be set to run for up to 8 hours which is pretty great as these sort of apps often stop before you want them to. i have Google Play Pass for 4.99$ a month, so don't experience any ads (super worth it btw) therefore- this is indeed, the Perfect sleep aid app",5
"January 16, 2022",Started out first night loving it. Ocean sounds. Second night set it for 2 hours. It did not shut itself off. Third night. Tried winter night. Crackling fire high winds. The winds stopped then i thought something was on fire hearing the crackling sound. I am going to try one more time.,3
"December 16, 2021","This app is awesome! I've tried other ones and they end up stopping after a little bit and I needed it to run all night long. This app runs until I stop it! And the customization is excellent! I can make the sounds my own to make my perfect sound! I have the perfect sounds for all my activities. They have a very good selection for relaxing, meditation and sleeping. And to top it all off it is FREE! I usually don't do reviews unless it absolutely deserves it. And this app definitely deserves it!",5
"December 7, 2021","Fabulous app that has been absolutely ruined by unskippable, bright screen ads. The only option to remove them is a subscription service. I can live with on screen ads but unavoidable loud bright videos is crossing the line. I've been using this app for a long time now and I'm so irritated with this recent development that I'm looking for a different app. Too bad, since otherwise it really is a nice and clean app.",2
"December 10, 2021","Love love love this app! I love that you can mix and match sounds. The sounds are a bit repetitive, but over all I found them very realistic and relaxing! The only thing that I think would make this app better is more variety in the rain, thunder, and fire sounds I love that I can close the app and still play the sounds. I'd also like to add that I'm subscribed to the play pass so I don't have to deal with ads.",5
"November 16, 2021","Sleep Sounds is a great app, especially for people that suffer from insomnia. I was skeptical at first, but it helped me sleep and recover me lost energy. My body got to rest and it helped my mind calm down. I also highly recommend it for people with anxiety disorder as it helps you become present. Sleep Sounds is an amazing app, I would never consider uninstalling it even when my phone has run out of storage.",5
"December 29, 2021","Sounds are good and you can add additional features to the basic sound. But when I use the timer, a little girl keeps saying hello repeatedly. Timer is useless.",3
"January 19, 2022",It is an awesome👏🏻 App. I didn't find any other App like this one. It is super easy and helpful. ☺Thank you so much for making it like this. You can add or change different sounds as you like.l love it!🤗,5
"November 20, 2021","Stop with the VIDEO ADS. Laying in bed, it's late... room is quiet, wife and infant baby are sleeping in the room... Go to put the rain noise on and the loudest ad ever imaginable comes on that you can't skip. Wife wakes up and gives you a death stare because you just woke the baby and her. There are plenty of apps that do this same thing, I am going to try and find another one.",1
"November 7, 2021",I really enjoy this app. It's useful not only for sleeping. I'm able to customize which sound I like best for the moment and adjust the volume for each. I love reading and I find myself being immersed more into the story while hearing some sort of peaceful sound in the background. My favorite is the thunderstorm.,5
"December 26, 2021","I've used this app to sleep for months. I get a good night sleep. It helps cancel out surrounding noises (sirens, loud neighbors and such 😃). It offers lots of options to customize what works best for you. I just wish I had found this app sooner.",5
"January 18, 2022",Great sleep sounds app! The ads aren't too disruptive and I love being able to customize my own sounds. Had to uninstall several for irritating ads but this one is a keeper!,5
